titre;auteur;genre;isbn;editeur;date_publication;nb_pages
Les enfants du beffroi;Gilberte NIQUET;;;Terre de poche;09/02/2018;
Les fils du Nil;Wilbur SMITH;;;Pocket;21/02/2018;
Les jardins de Mardpur;Yojana SHARMA;;;Le Livre de Poche;21/02/2018;
Les maîtres de la vie;Paul-Loup SULITZER;;;Le Livre de Poche;28/02/2018;
Les murailles de feu;Steven PRESSFIELD;;;Archipoche;16/02/2018;
Les neuf cercles;R. J. ELLORY;;;Le Livre de Poche;10/02/2018;
les ombres feux du passe;Lee Chang-Rae;;;Points;22/10/2017;
Les orchidées rouges de Shangai;Juliette MORILLOT;;;Pocket;09/02/2018;
Les portes de l'aube;Ann-Victoria ROBERTS;;;Le Livre de Poche;21/02/2018;
Les prépondérants;Hédi KADDOUR;;;Folio;09/02/2018;
Les sentiers du désastre;Donald WESTLAKE;;;Rivages/noir;28/02/2018;
Les Spellman se déchainent;Lisa LUTZ;;;Le Livre de Poche;09/02/2018;
L'évangile de Jimmy;Didier VAN CAUWELAERT;;;Le Livre de Poche;28/02/2018;
L'infortunée;Wesley STACE;;;J'ai Lu;28/02/2018;
Lire Lolita à Téhéran;Azar NAFISI;;;43374;09/02/2018;
L'oeil du faucon;Wilbur SMITH;;;Pocket;21/02/2018;
Lonesome Dove épisode 2;Larry McMURTRY;;;Gallmeister;17/05/2018;
L'orange amère;Didier VAN CAUWELAERT;;;Points;28/02/2018;
Louisiana;Michel PEYRAMAURE;;;Pocket;16/02/2018;
M comme menace;David PEACE;;;Rivages/noir;16/02/2018;
Marilyn Monroe Enquete sur un assassinat;Don WOLFE;;;J'ai Lu;28/02/2018;
Marina Bellezza;Silvia AVALLONE;;;Liana Levi Piccolo;09/02/2018;
Mauvaises nouvelles;Donald WESTLAKE;;;Rivages/noir;28/02/2018;
Money, money;Martin ANIS;;;Folio;;
Mortelle défense;Brad MELTZER;;;Pocket;09/02/2018;
Mousson;Wilbur SMITH;;;Pocket;21/02/2018;
Notre part de ténèbres;Gérard MORDILLAT;;;Le Livre de Poche;09/02/2018;
Nuit;Bernard MINIER;;;Folio;17/05/2018;
Oriane ou la cinquième couleur;Paul-Loup SULITZER;;;Le Livre de Poche;28/02/2018;
Outrage public à la pudeur;Tom SHARPE;;;43374;21/02/2018;
Parti;François SALVAING;;;Le Livre de Poche;21/02/2018;
Pas de pitié pour le juge;Steve MARTINI;;;Le Livre de Poche;09/02/2018;
Passage mortel;Kathy REICHS;;;Pocket;21/02/2018;
Persécution;Alessandro PIPERNO;;;Le Livre de Poche;16/02/2018;
Plenilunio;Antonio Muñoz Molina;;;Punto de lectura;09/02/2018;
Plus que tout au monde;Jacquelyn MITCHARD;;;Pocket;09/02/2018;
Profession du père;Sorj CHALANDON;;;Le Livre de Poche;09/02/2018;
Promesse;Jussi ADLER-OLSEN;;;Le Livre de Poche;17/05/2018;
Pukhtu Primo;DOA;;;Folio;09/02/2018;
Pukhtu Secundo;DOA;;;Folio;17/05/2018;
Sans pitié, ni remords;Nicolas LEBEL;Fiction;;Le Livre de Poche;26/08/2015;384
Seznec le bagne;Denis SEZNEC;;;Pocket;21/02/2018;
Troubles dans les andins;Boris VIAN;;;Le Livre de Poche;28/02/2018;
Un abri en ce monde;Mary McGARRY MORRIS;;;Pocket;09/02/2018;
Un autre soleil;Timothy WILLIAMS;;;Rivages/noir;;
Un garçon convenable **;Vikram SETH;;;Le Livre de Poche;21/02/2018;
Un jour en mai;George PELECANOS;;;Points;16/02/2018;
Un rôle qui me convient;Richard RUSSO;;;43374;21/02/2018;
Un serpent dans l'ombre;Minette WALTERS;;;Pocket;28/02/2018;
Un traitre idéal;John LE CARRE;;;Points;09/02/2018;
Vita;Melania G. MAZZUCO;;;J'ai Lu;06/09/2015;
Voyage de noce;Christine ARNOTHY;;;Le Livre de Poche;;
