titre;auteur;genre;isbn;editeur;date_publication;nb_pages
Les Sabots De La Liberte;Michelle CLEMENT-MAINARD;;9782724246360;Le Livre de Poche;01/01/1989;
Mourir Pour Jérusalem;Jean LARTEGUY;;9782724296655;Le Livre de Poche;01/01/1996;429
Chute libre;Albert CRÉMIEUX;;9782730400497;Nouvelles Éditions Oswald (NÉO);01/01/1980;182
Lumière noire;Minette WALTERS;;9782738210791;Pocket;01/01/1998;442
Mr Vertigo;Paul AUSTER;;9782742705726;Actes Sud;25/08/1995;400
American darling;Russell BANKS;;9782742765157;Actes Sud;03/01/2007;570
Le maître des carrefours;Madison SMARTT BELL;;9782742768400;Babel;01/01/2007;1125
Dans la main du diable;Anne-Marie GARAT;;9782742769315;Actes Sud;28/09/2007;1287
Objets trouvés : Une enquête de l'inspecteur Espinosa;Luiz Alfredo GARCIA-ROZA;;9782742783779;Actes Sud;01/06/2009;301
Ma femme de ta vie;Carla GUELFELBEIN;;9782742783793;Actes Sud;01/06/2009;297
Une Saison pour la peur;James Lee BURKE;;9782743600358;Rivages;01/03/1996;448
AMERICAN TABLOID.;James ELLROY;;9782743602673;Rivages;01/01/2001;800
Moo;Jane SMILEY;;9782743604912;Rivages;01/01/1999;482
Étoiles cannibales;Claude AMOZ;;9782743611682;Rivages;03/10/2003;272
Le Vent qui gémit;Tony HILLERMAN;;9782743615154;Rivages;01/03/2006;276
Prières pour la pluie;Dennis LEHANE;;9782743615611;Rivages;07/06/2006;477
Le Dahlia Noir;James ELLROY;;9782743615871;Rivages;18/10/2006;504
Un pays à l'aube;Dennis LEHANE;;9782743621308;Rivages;01/09/2010;864
Un Dernier verre avant la guerre;Dennis LEHANE;Fiction;9782743624729;Rivages/noir;;368
Ténèbres, prenez-moi la main;Dennis LEHANE;Fiction;9782743624736;Rivages/noir;;498
Sacré;Dennis LEHANE;Fiction;9782743624743;Rivages/noir;;416
Mystic River;Dennis LEHANE;Fiction;9782743624750;Rivages/noir;;592
Gone, baby, gone;Dennis LEHANE;Fiction;9782743624767;Rivages/noir;;560
Shutter island;Dennis LEHANE;Fiction;9782743624774;;;400
Coronado;Dennis LEHANE;Fiction;9782743624798;Rivages/noir;;256
Pensées secrètes;David LODGE;Fiction;9782743627973;Rivages;;462
Thérapie;David LODGE;Fiction;9782743628031;Rivages;;497
Perfidia;James ELLROY;Fiction;9782743633103;Rivages/noir;;848
Pierre qui roule;Donald WESTLAKE;Fiction;9782743634759;Rivages/noir;;302
Dégâts des eaux;Donald WESTLAKE;Fiction;9782743634957;Rivages/noir;;622
Lumière du monde;James Lee BURKE;Fiction;9782743635138;Rivages/noir;;669
Personne n'est parfait;Donald WESTLAKE;Fiction;9782743635572;Rivages/noir;;352
Killarney Blues;Colin O'SULLIVAN;Fiction;9782743645885;Rivages/noir;;272
Lune sanglante;James ELLROY;Fiction;9782743650667;Rivages/noir;;368
La tempête qui vient;James ELLROY;Fiction;9782743656508;Rivages/noir;;699
Malins plaisirs;Christine ARNOTHY;;9782744128035;Pocket;04/02/1999;382
Apocalypse sur commande;Ken FOLLETT;;9782744133923;Le Livre de Poche;01/11/2000;480
C'est comment l'Amérique ?;Frank McCOURT;;9782744140563;Pocket;01/01/2000;394
Ne tirez pas sur l'oiseau moqueur : [roman];Lee Harper;;9782744185618;Le Livre de Poche;01/01/2005;418
Les morts solitaires;Michael MARSHALL;Serial murder investigation;9782749901213;J'ai Lu;01/01/2004;349
Les vents mauvais;Michael MARSHALL;;9782749911984;J'ai lu;25/03/2010;361
Entre deux mondes;Olivier NOREK;Fiction;9782749935072;Pocket;05/10/2017;281
La Dame en blanc;William Wilkie COLLINS;;9782752905666;Libretto;04/01/2011;
Desperados;Joseph O'CONNOR;Fiction;9782752906809;Libretto;24/05/2012;480
La dernière note;Jonathan KELLERMAN;;9782757800089;Points;08/06/2006;523
Un loup est un loup;Michel FOLCO;;9782757802663;Points;08/02/2007;631
Dissimulation de preuves;Donna LEON;Fiction;9782757802786;Points;01/01/2008;296
Romanzo criminale;Giancarlo DE CATALDO;;9782757803127;Points;26/04/2007;731
Pour la plus grande gloire de Dieu;Morgan SPORTES;Fiction;9782757806210;Points;01/01/2007;735
La vie aux aguets;William BOYD;;9782757807101;Points;07/02/2008;396
Classe à part;Joanne HARRIS;;9782757809358;Points;13/11/2008;539
Requiem pour une cité de verre;Donna LEON;Fiction;9782757811139;;01/01/2009;338
Cantique Des Innocents(le);Donna LEON;Fiction;9782757811146;;01/01/2011;352
L'état des lieux;Richard FORD;;9782757814710;Points;20/08/2009;800
Netherland;Joseph O'NEILL;Fiction;9782757819425;Points;01/01/2010;335
La vaine attente;Nadeem ASLAM;;9782757819494;Points;26/08/2010;475
Le Sari Rose;Javier MORO;Fiction;9782757820872;Points;01/01/2011;762
Orages ordinaires;William BOYD;;9782757822746;Points;07/04/2011;497
Hypothermie : Une enquête du commissaire Erlendur Sveinsson;Arnaldur INDRIDASON;;9782757822814;Points;19/05/2011;319
13 heures;Deon MEYER;Fiction;9782757823040;Points;01/01/2011;565
La petite fille de ses rêves;Donna LEON;;9782757826492;Points;01/01/2012;325
Dernière nuit à Twisted River;John IRVING;;9782757826591;Points;03/05/2012;679
Brunetti et le mauvais augure;Donna LEON;;9782757829615;Points;02/01/2014;330
Dans la grande nuit des temps;Antonio Muñoz Molina;;9782757832226;Points;17/05/2013;1005
Kobra;Deon MEYER;;9782757833575;Points;05/11/2015;493
A la trace;Deon MEYER;;9782757833834;Points;08/05/2013;733
La muraille de lave;Arnaldur INDRIDASON;;9782757833841;Points;02/05/2013;401
Demain à Santa Cecilia;María DUEÑAS;;9782757834756;Points;15/05/2015;500
L'espionne de Tanger;María DUEÑAS;;9782757834763;Points;13/06/2013;686
Los Angeles River;Michael CONNELLY;;9782757834855;Points;06/06/2013;395
Les corrections;Jonathan FRANZEN;;9782757835692;Points;16/07/2013;693
L'empereur aux mille conquêtes;Javier MORO;;9782757836767;Points;21/05/2015;733
La course au mouton sauvage;Haruki MURAKAMI;Fiction;9782757837030;Points;02/11/2013;373
Mudwoman;Joyce Carol OATES;;9782757840634;Points;02/10/2014;576
Terminus Belz;Emmanuel GRAND;;9782757842812;Points;08/01/2015;395
Etranges rivages;Arnaldur INDRIDASON;;9782757843024;Points;02/05/2014;354
Terminus radieux;Antoine VOLODINE;;9782757854709;Points;20/08/2015;560
Ciel d'acier;Michel MOUTOT;;9782757859711;Points;14/04/2016;440
De si jolis chevaux;Cormac McCARTHY;;9782757862629;Points;01/09/2016;398
Snjor;Ragnar JONASSON;;9782757863787;Points;09/03/2017;346
Un livre de martyrs américains;Joyce Carol OATES;;9782757866917;Points;09/12/2020;
La griffe du chien;Don WINSLOW;;9782757867587;Points;09/03/2017;826
Soledad;María DUEÑAS;Fiction;9782757869956;;04/05/2017;491
Les pièges de l'exil;Philip KERR;Fiction;9782757871300;;;
Les Jours enfuis;Jay MCINERNEY;Fiction;9782757871324;Points;;493
Les Disparus de la lagune;Donna LEON;Fiction;9782757873090;Points;12/09/2018;360
Passage des Ombres;Arnaldur INDRIDASON;Fiction;9782757875018;Points;;
Phénomènes naturels;Jonathan FRANZEN;Literary Collections;9782757875193;Points;;685
Qaanaaq;Mo MALO;Policier;9782757875704;Points;03/10/2020;
Falco;Arturo PEREZ-REVERTE;;9782757875773;Points;04/11/2019;
La Tentation du pardon;Donna LEON;Fiction;9782757878828;Points;11/09/2019;325
Quand un fils nous est donné;Donna LEON;Fiction;9782757878835;Points;16/09/2020;324
Eva;Arturo PEREZ-REVERTE;;9782757880807;Points;04/03/2021;
L'offrande grecque;Philip KERR;;9782757880937;Points;07/11/2019;473
Mémoires Vives;Edward SNOWDEN;Biography & Autobiography;9782757886076;Points;19/09/2019;384
Crossroads;Jonathan FRANZEN;Fiction;9782757890172;Points;05/10/2021;531
Une évidence trompeuse;Craig JOHNSON;Policier;9782757892930;Points;01/10/2020;350
L'élément;Ken ROBINSON;Health & Fitness;9782809649727;PlayBac;02/10/2013;326
Un moment à Pékin;Yutang LIN;;9782809715798;Picquier;29/06/2022;
Les Bébés de la consigne automatique;Ryû MURAKAMI;Fiction;9782809731804;Picquier;;524
La dernière valse de Mathilda;Tamara McKINLEY;Fiction;9782809811650;Archipoche;02/02/2005;496
L'île du maudit - L'espoir est une terre lointaine*;Colleen McCULLOUGH;Fiction;9782809822687;Pocket;14/06/2017;440
Si la lune éclaire nos pas;Nadia HASHIMI;Fiction;9782811229047;Milady;07/07/2017;512
Meurtres à Pékin;Peter MAY;Fiction;9782812603235;Babel;;418
Bon rétablissement;Marie-Sabine ROGER;Fiction;9782812603747;Babel;;206
Obia;Colin NIEL;Fiction;9782812610264;Babel;;498
La Perle et la coquille;Nadia HASHIMI;Fiction;9782820521965;Milady;17/06/2016;432
La Route d'Omaha;Robert LUDLUM;Fiction;9782823805499;Pocket;20/06/2013;565
La Vengeance dans la peau;Robert LUDLUM;Fiction;9782823805505;Le Livre de Poche;18/07/2013;712
Le cherche-bonheur;Michael ZADOORIAN;Fiction;9782823806434;43374;17/10/2013;192
African lady;Barbara WOOD;Fiction;9782823806472;Presse Pocket;13/03/2014;658
La dernière vallée verte;Mark T. SULLIVAN;;9782824622217;City Poche;01/01/2022;0
L'Été avant la guerre;Helen SIMONSON;Fiction;9782841118984;43374;19/05/2016;491
Havana 505;Cyriaque GRIFFON;;9782841866717;Editions Michalon;01/01/2013;430
Nos adieux;Timothy FINDLEY;;9782842611972;Les Editions du Rocher;16/05/2000;323
L'Île du Point Némo;Jean-Marie BLAS DE ROBLES;Fiction;9782843047305;Points;;464
Là où rêvent les étoiles;Eric MARCHAL;Fiction;9782843378744;Pocket;01/06/2017;738
